House_Area,Bedrooms,Bathrooms,House_Age,House_Price,Price_Category
212.3,4,3,18,757709000,0
477.3,8,6,16,1764423000,1
376.7,8,4,14,1492924000,1
315.4,7,5,6,1290173000,1
111.8,3,2,22,515880000,0
111.8,2,1,29,402064000,0
66.7,3,2,23,271381000,0
438.4,8,5,18,1656268000,1
316.5,7,5,9,1206829000,1
365.7,8,5,14,1390453000,1
49.5,1,1,19,249160000,0
486.2,8,6,16,1884115000,1
422.9,8,6,13,1664615000,1
137.7,3,2,26,454192000,0
123.6,3,2,29,464392000,0
124.4,3,2,26,433955000,0
180.0,3,2,22,727944000,0
281.4,6,4,10,1095213000,1
238.7,6,4,18,919981000,0
174.0,3,3,16,691141000,0
321.5,7,5,13,1254993000,1
104.2,1,1,19,447208000,0
174.4,4,2,13,660014000,0
208.5,5,3,5,795235000,0
249.8,4,2,13,837479000,0
401.2,8,5,15,1551455000,1
131.8,2,1,12,475473000,0
276.5,6,3,17,1005499000,0
312.5,7,6,29,1298515000,1
61.4,2,2,30,291506000,0
319.5,6,5,27,1230130000,1
118.4,3,1,24,513275000,0
69.9,2,1,31,294494000,0
476.5,8,5,6,1774771000,1
484.2,8,5,7,1787675000,1
411.9,8,5,1,1651889000,1
180.1,3,3,28,703157000,0
84.9,2,1,33,316319000,0
354.7,7,5,11,1355948000,1
242.5,3,2,16,914358000,0
96.1,2,2,17,364523000,0
267.8,7,4,20,1071371000,0
55.8,1,1,31,266672000,0
458.3,8,6,1,1755822000,1
159.0,4,2,23,553015000,0
344.8,8,6,13,1350995000,1
183.4,4,3,21,772623000,0
279.2,6,4,20,1105903000,1
291.5,6,3,15,1116001000,1
125.0,4,2,21,496091000,0
486.0,8,6,10,1878041000,1
396.6,8,5,20,1489910000,1
472.2,8,6,14,1817795000,1
451.6,8,5,14,1683214000,1
315.0,7,4,7,1212605000,1
464.1,8,6,9,1759433000,1
80.7,2,1,29,286347000,0
130.2,3,2,22,513443000,0
60.8,1,1,28,234156000,0
189.7,3,2,32,520064000,0
218.8,5,3,26,812816000,0
164.8,4,3,21,650739000,0
421.2,8,6,9,1718568000,1
204.1,7,5,1,883520000,0
169.2,4,2,19,671766000,0
289.6,6,4,14,1206996000,1
104.8,2,2,25,351276000,0
409.0,8,6,12,1623529000,1
74.3,2,1,21,262658000,0
494.0,8,5,1,1855091000,1
395.2,8,4,7,1491500000,1
131.4,2,1,25,440546000,0
42.5,2,2,36,311486000,0
415.1,8,5,12,1641321000,1
365.2,8,5,17,1483218000,1
375.3,8,6,21,1502100000,1
394.8,8,4,8,1452078000,1
74.1,2,1,25,307893000,0
204.9,5,4,14,898962000,0
93.3,1,1,28,289157000,0
437.0,8,5,14,1712840000,1
326.7,8,6,18,1362135000,1
192.2,4,3,14,853382000,0
69.2,1,1,28,231640000,0
183.1,3,2,34,611528000,0
189.6,5,3,13,765447000,0
375.6,8,5,12,1541521000,1
333.3,7,5,17,1231282000,1
448.1,8,5,18,1603843000,1
257.2,7,4,14,1058063000,0
95.0,2,1,2,383083000,0
368.1,8,5,24,1429268000,1
390.0,8,5,19,1551539000,1
298.2,7,4,4,1180374000,1
394.6,8,5,9,1459435000,1
267.1,7,5,28,1171722000,1
280.5,7,5,27,1079725000,0
236.7,7,4,25,918783000,0
51.7,2,2,22,296107000,0
89.6,2,2,23,348418000,0
54.5,1,1,23,210547000,0
332.7,7,4,23,1299366000,1
184.6,4,3,14,794481000,0
273.9,6,4,12,1078474000,0
457.5,8,5,19,1793398000,1
154.7,4,2,20,519929000,0
228.8,4,3,28,893350000,0
387.6,8,6,9,1505541000,1
145.2,4,2,20,647392000,0
75.4,2,1,16,318672000,0
173.3,2,1,20,587279000,0
114.2,2,1,11,476268000,0
467.7,8,6,8,1841833000,1
411.7,8,5,3,1639325000,1
331.4,7,5,20,1255144000,1
440.9,8,5,17,1654099000,1
409.7,8,5,1,1607857000,1
125.8,3,2,31,481703000,0
450.6,8,6,30,1736659000,1
288.1,6,4,17,1038249000,0
411.4,8,5,9,1612525000,1
452.2,8,6,32,1690991000,1
186.3,5,3,10,739427000,0
90.6,2,1,23,313508000,0
144.9,4,3,22,593026000,0
236.5,6,4,28,779751000,0
416.3,8,6,16,1589602000,1
