House_Area,House_Price
142,460795000
146,509474000
111,373097000
228,777795000
60,242192000
142,504519000
161,549637000
254,908366000
127,423504000
139,460559000
191,692610000
170,573506000
189,629017000
297,1046064000
231,805886000
200,671922000
61,244985000
292,1022209000
275,940216000
88,354895000
98,376306000
209,734266000
227,772274000
229,778050000
214,735675000
90,349158000
94,339567000
283,953285000
170,582172000
174,604345000
60,209478000
206,761532000
128,438475000
53,206648000
281,926176000
92,352946000
131,459888000
74,260596000
245,843451000
120,446416000
89,328329000
41,161600000
93,390803000
145,516481000
299,973770000
230,812109000
257,848573000
83,370921000
201,689952000
241,838493000
254,812040000
291,947949000
229,807145000
252,858392000
247,880333000
276,938874000
92,342597000
256,901899000
291,998423000
227,767082000
80,276930000
196,620024000
54,208171000
104,351701000
48,255750000
168,568292000
175,590090000
102,337933000
178,608741000
120,414380000
202,729630000
300,1008706000
270,908805000
80,298037000
67,276696000
174,591849000
240,827679000
72,310907000
87,333522000
101,362706000
255,840024000
138,480547000
211,732588000
253,820884000
74,300094000
266,900767000
140,489718000
170,574493000
296,981720000
44,198941000
257,864579000
294,974775000
246,842508000
54,228980000
81,276718000
218,755173000
102,426437000
270,919332000
280,903622000
91,340102000
135,436722000
261,949882000
270,958185000
276,913549000
182,577995000
210,697676000
68,258618000
75,246239000
52,209882000
199,677673000
226,770953000
282,952452000
125,423756000
105,362225000
209,714803000
84,299918000
101,388165000
173,599390000
67,300430000
147,533451000
83,334882000
167,582316000
270,912462000
229,815889000
264,881478000
160,569029000
155,535143000
272,909490000
298,972884000
237,787065000
176,587778000
204,710876000
264,912685000
273,916515000
211,725252000
191,652846000
199,663963000
135,495970000
272,929756000
219,704164000
152,525172000
91,316795000
152,522799000
140,478251000
152,530379000
120,421742000
226,760475000
152,555763000
41,188458000
169,570314000
259,861578000
93,353419000
263,897389000
264,876517000
165,567852000
169,626430000
92,326496000
211,762238000
257,891681000
199,719759000
237,789560000
286,956492000
242,809518000
223,783389000
162,550911000
294,1001887000
137,498323000
237,802343000
279,966371000
183,632969000
136,498550000
240,802117000
163,550684000
226,784285000
298,1008078000
187,648753000
291,968639000
186,674283000
187,618835000
238,780830000
167,600128000
78,313522000
168,590383000
190,646665000
138,497653000
291,1014058000
183,685942000
151,491759000
99,352584000
41,165601000
293,1018383000
179,563212000
76,299504000
199,676150000
48,234638000
272,948423000
138,494641000
186,605446000
247,822774000
170,578783000
191,627018000
93,368001000
159,521825000
200,728237000
155,584182000
114,401329000
152,538627000
143,501010000
293,1002440000
266,924243000
151,533876000
138,496921000
192,645747000
233,800208000
202,694981000
247,815341000
208,710291000
200,676570000
107,373991000
174,576577000
234,795175000
167,562230000
72,265036000
215,756653000
61,254107000
277,909867000
197,683142000
77,294321000
269,943237000
90,363429000
66,222458000
265,911945000
136,508034000
186,652506000
43,175221000
74,334895000
231,798531000
88,370084000
56,253933000
211,730411000
259,861047000
197,674870000
85,312118000
45,162281000
138,500906000
272,949882000
76,281637000
220,796600000
134,439533000
138,509796000
227,808173000
155,536511000
230,776907000
292,1002341000
200,696132000
295,945057000
167,560846000
57,227102000
262,853267000
93,332168000
97,325817000
213,718456000
153,527194000
190,660739000
166,574181000
194,676861000
143,511038000
285,979689000
215,752223000
78,311499000
209,782107000
286,967843000
65,310059000
52,220469000
75,283177000
212,715190000
59,267014000
181,660291000
182,640595000
131,489138000
254,829701000
90,298927000
192,686819000
225,762210000
102,387885000
229,762020000
164,606254000
189,615911000
97,324917000
219,777575000
209,656383000
93,350929000
140,490639000
92,323209000
99,357401000
147,496754000
44,219730000
142,539099000
235,781914000
86,326262000
183,601448000
163,590207000
145,532034000
197,668904000
186,640571000
184,631737000
159,518194000
131,498212000
97,338527000
268,885877000
156,540891000
166,598102000
168,569591000
97,312452000
161,540686000
40,182331000
278,982775000
135,449282000
165,544477000
157,514123000
87,287392000
128,481125000
276,961083000
228,778511000
231,773910000
108,430005000
286,964026000
115,436968000
193,651238000
183,631573000
125,417778000
224,775643000
259,878001000
108,370920000
86,300816000
133,506151000
277,974777000
243,817911000
257,868891000
78,303403000
139,493057000
293,945765000
261,889613000
62,197466000
289,953681000
49,212919000
285,970200000
139,471978000
219,735714000
262,870336000
289,967537000
186,639611000
135,491706000
296,980828000
43,190815000
55,232154000
286,964562000
297,989689000
199,685774000
191,672738000
217,757862000
202,731338000
72,253619000
218,732920000
140,457504000
104,398282000
207,700041000
82,311936000
83,297305000
51,201013000
134,500710000
292,994673000
281,941747000
74,298692000
254,875178000
129,449189000
132,435080000
129,438018000
154,508308000
144,531418000
235,826439000
153,569500000
114,365370000
256,887771000
288,1015268000
203,719064000
231,736873000
266,935103000
216,737117000
138,481487000
75,294924000
135,453922000
191,656261000
190,688649000
229,791493000
263,887885000
76,290171000
222,729409000
52,208100000
256,828246000
101,390694000
123,390514000
256,883008000
226,789747000
58,259613000
216,738111000
139,509966000
272,911886000
115,386893000
245,862676000
262,881269000
91,305191000
183,620330000
108,381199000
138,496757000
64,301435000
92,350893000
190,657551000
183,684627000
96,373736000
78,300193000
148,508053000
220,755956000
81,302739000
225,767012000
262,912317000
161,548313000
172,606698000
202,712277000
254,843234000
260,858902000
274,918492000
185,626844000
278,959951000
115,390961000
48,200106000
113,462613000
292,988487000
269,918544000
46,217735000
213,716415000
180,597209000
207,711283000
209,719639000
161,524599000
233,798852000
44,209337000
68,242515000
204,707382000
175,624630000
184,646707000
256,879182000
171,586814000
109,368995000
291,966363000
221,739307000
206,702434000
130,485052000
241,787340000
58,233774000
78,271205000
165,556719000
212,735692000
180,594821000
281,960353000
259,844052000
165,587674000
97,321310000
187,629808000
40,214723000
229,815388000
230,771924000
156,552779000
173,625089000
97,370389000
83,304584000
212,706930000
199,700898000
212,748275000
188,684345000
119,388681000
252,823831000
242,844962000
291,942066000
268,929848000
203,689871000
266,884740000
186,644719000
59,204202000
86,338328000
272,952572000
53,233753000
182,621977000
40,139163000
93,309609000
298,969348000
183,630330000
51,210695000
263,905706000
195,629487000
47,224247000
161,575477000
203,687410000
129,431625000
175,632481000
225,758398000
217,738960000
67,267839000
259,853710000
80,294792000
267,918437000
231,801010000
184,650808000
240,787586000
251,842995000
259,865079000
279,947154000
85,324384000
74,285219000
292,1033646000
121,425802000
295,980028000
236,774752000
49,167967000
281,917353000
290,957189000
44,214622000
158,551462000
104,382053000
185,634882000
263,894637000
278,965446000
216,692334000
102,398203000
256,808869000
216,736820000
137,531622000
144,520774000
138,494807000
45,233043000
236,784733000
172,604947000
298,1011319000
62,231907000
92,329850000
204,685837000
241,818121000
122,447427000
184,636511000
124,457408000
117,376079000
40,168198000
90,310485000
212,730038000
244,832112000
299,999256000
73,289826000
134,495752000
111,398869000
78,271463000
193,627812000
289,970594000
201,693521000
157,526070000
298,1014567000
93,332503000
275,888558000
261,907842000
290,998168000
151,483857000
294,973423000
246,818965000
268,938669000
105,378816000
114,376891000
142,518806000
231,757123000
291,970473000
265,876065000
137,471070000
288,987220000
205,734469000
69,237764000
286,973974000
145,492879000
90,317563000
120,439794000
172,572786000
177,621753000
223,774662000
108,381084000
73,307796000
92,311398000
244,855399000
165,530232000
274,981194000
82,298464000
279,912229000
150,519881000
288,943577000
190,661513000
222,785488000
134,451944000
47,208147000
223,724880000
234,816525000
234,802957000
194,689476000
132,464708000
199,672227000
100,382955000
161,531423000
90,294658000
44,185691000
131,455629000
209,725984000
61,264214000
40,184726000
172,617662000
272,922463000
51,219081000
85,314434000
73,288831000
117,423066000
257,874554000
112,399732000
288,984396000
86,304570000
160,556596000
253,883459000
278,913728000
95,301439000
146,520262000
87,317747000
100,387239000
65,250129000
296,978905000
47,193732000
152,555448000
292,992058000
219,692254000
246,836287000
166,581387000
95,348599000
253,841160000
53,240880000
67,286769000
117,370930000
255,843445000
193,659416000
53,235467000
226,768967000
46,177161000
42,195010000
150,520351000
277,928817000
278,934003000
266,908835000
54,211012000
231,799313000
158,548992000
67,235926000
241,815391000
78,272265000
270,909902000
125,463248000
165,549380000
64,257814000
184,615561000
52,215837000
251,867124000
64,202951000
107,362882000
106,376082000
272,922331000
148,514940000
185,635991000
150,569946000
267,872726000
150,549981000
73,270900000
150,537088000
275,971837000
122,450551000
81,312395000
140,528181000
45,213746000
219,728213000
265,899480000
268,864815000
189,637917000
237,810309000
109,380554000
151,534214000
43,182306000
134,485601000
191,646868000
176,587517000
286,992719000
282,936495000
70,283520000
79,329375000
268,906179000
75,266161000
262,879471000
45,211386000
259,878337000
114,383287000
43,195726000
173,615530000
157,539583000
133,484025000
101,373590000
233,786257000
242,790942000
65,276715000
212,740103000
172,608245000
157,581380000
251,868994000
264,904904000
59,185109000
152,557732000
179,619628000
86,327075000
40,180025000
129,474824000
181,648888000
77,305353000
178,625056000
298,1003693000
200,611265000
217,733073000
49,181085000
300,1031636000
177,625019000
211,710121000
52,203530000
207,698732000
169,576740000
123,406820000
140,456452000
77,292039000
133,494257000
134,461971000
108,397276000
275,941154000
176,586346000
115,412561000
74,267137000
40,208335000
99,396174000
268,880768000
252,859889000
204,721287000
44,204463000
117,421194000
101,396944000
171,572301000
128,447932000
276,908892000
81,321415000
128,441782000
143,498833000
53,228189000
218,757961000
164,549843000
62,266646000
102,381425000
182,603603000
192,630190000
184,633452000
264,908502000
143,521866000
143,510436000
78,295671000
237,814658000
173,579783000
106,421314000
218,779427000
81,313634000
54,222141000
150,515949000
196,683832000
270,893791000
196,623281000
77,231690000
136,462611000
293,986040000
235,804303000
125,434291000
49,204920000
44,179767000
162,541415000
157,546218000
198,696485000
267,878411000
255,840021000
223,735076000
54,175197000
196,661636000
175,620710000
300,1008826000
196,668476000
86,323039000
212,712642000
169,542946000
134,491042000
154,561365000
282,931381000
108,387282000
187,638186000
50,212728000
293,1019778000
77,316915000
173,590308000
239,821734000
62,270996000
257,876384000
180,620897000
143,512412000
249,826328000
150,512740000
143,479191000
210,723755000
172,592509000
166,558091000
145,505388000
131,474540000
90,375124000
68,284865000
253,804349000
296,997465000
140,524445000
149,492367000
221,764334000
40,167794000
94,371106000
188,655494000
176,588752000
241,811781000
156,541083000
193,659890000
102,396024000
283,932062000
64,271867000
129,451151000
114,414717000
249,843392000
56,223720000
167,579101000
290,1005062000
218,761134000
221,744220000
191,691021000
64,255843000
219,753668000
237,784979000
200,674055000
216,721053000
102,373294000
189,663853000
193,670679000
195,703937000
88,307069000
123,441127000
216,707975000
187,623119000
157,575221000
102,361210000
228,756926000
88,279741000
296,974306000
263,882084000
180,591137000
254,852019000
250,872954000
71,256639000
197,654646000
183,605874000
58,205481000
57,239183000
296,993271000
117,440451000
214,774236000
233,750331000
152,539762000
153,509990000
261,897556000
205,695018000
171,592801000
94,317570000
170,579619000
201,690173000
126,478034000
94,328320000
217,727285000
47,216174000
286,941295000
294,1010932000
93,342400000
288,973269000
278,942685000
268,889043000
106,392778000
90,316008000
136,469154000
131,476491000
135,483455000
127,449751000
117,391708000
159,531599000
204,703888000
221,768307000
262,858988000
46,173724000
200,687952000
190,655481000
124,406073000
186,643754000
151,515036000
75,321103000
227,776882000
121,441472000
41,186042000
236,773494000
50,247765000
273,882896000
234,811305000
158,564211000
59,223306000
300,1019662000
295,982013000
261,865340000
265,903330000
92,317256000
120,424066000
241,803128000
197,668008000
159,563320000
98,345524000
254,853569000
167,568331000
263,918368000
248,846137000
154,542642000
248,853635000
53,201529000
48,217504000
79,305416000
276,893860000
240,781583000
285,944409000
274,892738000
43,177358000
193,640298000
68,260450000
148,549658000
137,482314000
254,851135000
114,418341000
185,621679000
167,597955000
81,315095000
80,301855000
73,281995000
56,269118000
204,718531000
192,707790000
115,424705000
126,415823000
156,538432000
66,218795000
173,610223000
258,886999000
207,687910000
137,468976000
276,931473000
212,697042000
229,749790000
161,587450000
85,319524000
103,362322000
169,548573000
232,806152000
220,733941000
68,303535000
188,665505000
50,187221000
203,678860000
152,569281000
226,766346000
271,900907000
266,896810000
137,472006000
94,351103000
150,523332000
191,675461000
285,948451000
108,371134000
